customerid,region,age
2498121,New Zealand,19
2587881,New Zealand,17
2591616,New Zealand,19
2653646,New Zealand,16
2746705,USA,20
2754073,New Zealand,20
2758620,Australia,19
2772953,USA,23
2795465,New Zealand,33
2805590,Australia,22
2821709,New Zealand,29
2846091,Australia,30
2866124,New Zealand,19
2883326,Australia,19
2894462,Australia,16
2897504,Australia,21
2897763,New Zealand,16
2904179,USA,19
2904973,New Zealand,3
2908382,Australia,22
2909524,Australia,22
2920012,Australia,20
2946019,New Zealand,14
2962117,New Zealand,20
2998518,New Zealand,28
3002469,Australia,17
3005637,New Zealand,16
3024054,Australia,19
3028815,Australia,17
3045068,New Zealand,21
3083615,Australia,16
3094245,Australia,19
3111578,Australia,18
3138866,Australia,17
3142001,Australia,1
3161436,New Zealand,16
3161788,New Zealand,18
3162648,New Zealand,21
3164148,Australia,19
3179665,Australia,24
3184063,USA,25
3188640,Australia,24
3211247,New Zealand,17
3236288,Australia,17
3237934,Australia,22
3263903,Australia,22
3264905,Australia,19
3270788,Australia,21
3303737,New Zealand,15
3348538,New Zealand,21
3348868,Australia,17
3351823,Australia,20
3370713,Australia,19
3401613,New Zealand,20
3428333,Australia,16
3445689,Australia,20
3463114,Australia,17
3481504,Australia,18
3496309,Australia,19
3498026,USA,22
3536376,Australia,21
3539464,New Zealand,21
3552287,Australia,19
3564393,Australia,19
3571628,Australia,25
3591263,Australia,20
3622590,Australia,22
3633492,Australia,22
3644420,Australia,18
3644467,Australia,26
3650296,Australia,22
3672582,New Zealand,30
3673528,Australia,19
3689991,Australia,21
3691350,United States,20
3692473,New Zealand,11
3716048,Australia,22
3734767,New Zealand,21
3741007,Australia,17
3759824,New Zealand,33
3764168,United States,26
3803674,Australia,27
3880021,Australia,17
3013740,Australia,20
577897,New Zealand,28
3423235,New Zealand,22
3424631,Australia,20
1152825,Australia,22
108326,New Zealand,26
111228,New Zealand,35
128447,New Zealand,37
132458,New Zealand,29
133379,New Zealand,30
136685,Australia,28
144252,Australia,26
150491,New Zealand,29
151528,New Zealand,38
153494,New Zealand,38
153697,New Zealand,48
161747,New Zealand,31
163897,New Zealand,37
171981,New Zealand,27
179551,New Zealand,45
186497,New Zealand,27
187106,New Zealand,23
214812,New Zealand,43
215085,New Zealand,34
216491,New Zealand,27
223384,New Zealand,24
225023,New Zealand,43
