orderid,orderitemid,customerid,barcode,locale,total,deliverysuburb,deliverycity,country,discountcodeamount,created
3972723,11053621,233124,26723952,NZ,39.93,Takaro,Palmerston North,New Zealand,0.00,1652749439
3972722,11053617,2345015,26580166,AU,69.98,Wollongong,NULL,Australia,0.00,1652749418
3972722,11053618,2345015,26580364,AU,69.98,Wollongong,NULL,Australia,0.00,1652749418
3972722,11053619,2345015,26623863,AU,69.98,Wollongong,NULL,Australia,0.00,1652749418
3972722,11053620,2345015,26623931,AU,69.98,Wollongong,NULL,Australia,0.00,1652749418
3972721,11053616,3539767,26545479,NZ,39.98,Bryndwr,Christchurch,New Zealand,0.00,1652749411
3972720,11053614,2259528,26432366,NZ,58.98,Foxton Beach,Manawatu-Wanganui,New Zealand,0.00,1652749394
3972720,11053615,2259528,26639673,NZ,58.98,Foxton Beach,Manawatu-Wanganui,New Zealand,0.00,1652749394
3972719,11053613,285378,26284866,NZ,69.98,Churton Park,Wellington,New Zealand,0.00,1652749334
3972719,11053612,285378,26368771,NZ,69.98,Churton Park,Wellington,New Zealand,0.00,1652749334
3972718,11053611,3609875,26020914,AU,38.94,Broadbeach,Broadbeach,Australia,8.00,1652749319
3972717,11053610,166099,26444161,NZ,46.93,Little River,Little River,New Zealand,0.00,1652749295
3972717,11053609,166099,26541464,NZ,46.93,Little River,Little River,New Zealand,0.00,1652749295
3972716,11053608,593619,26123851,NZ,75.04,Forrest Hill,Auckland,New Zealand,18.00,1652749148
3972715,11053607,1240585,26584065,NZ,79.99,NULL,NULL,New Zealand,0.00,1652749126
3972714,11053605,2285168,26556468,NZ,56.93,Omokoroa,Bay of Plenty,New Zealand,0.00,1652749033
3972714,11053606,2285168,26606897,NZ,56.93,Omokoroa,Bay of Plenty,New Zealand,0.00,1652749033
3972713,11053604,1377124,26048086,NZ,129.97,Napier South,Napier,New Zealand,0.00,1652749004
3972713,11053602,1377124,26319650,NZ,129.97,Napier South,Napier,New Zealand,0.00,1652749004
3972713,11053603,1377124,26649443,NZ,129.97,Napier South,Napier,New Zealand,0.00,1652749004
3972712,11053601,583804,26178998,AU,46.94,Mount Coolum,Mount Coolum,Australia,0.00,1652748986
3972711,11053600,2159287,26503615,AU,15.99,Moonee Ponds,NULL,Australia,4.00,1652748958
3972710,11053599,3900531,25697193,AU,95.98,Deniliquin,Deniliquin,Australia,24.00,1652748958
3972710,11053598,3900531,26601953,AU,95.98,Deniliquin,Deniliquin,Australia,24.00,1652748958
3972709,11053597,1542367,26625638,AU,59.98,Windermere Park,Windermere Park,Australia,0.00,1652748957
3972708,11053596,3766700,26070513,NZ,29.98,NULL,NULL,New Zealand,0.00,1652748871
3972708,11053595,3766700,26126494,NZ,29.98,NULL,NULL,New Zealand,0.00,1652748871
3972707,11053594,2611220,26561349,NZ,26.94,Warkworth,Auckland,New Zealand,0.00,1652748870
3972706,11053593,984707,26601694,AU,62.98,Boronia Heights,Boronia Heights,Australia,7.00,1652748836
3972706,11053592,984707,26640532,AU,62.98,Boronia Heights,Boronia Heights,Australia,7.00,1652748836
3972705,11053591,2238117,26605944,AU,45.98,Innaloo,Innaloo,Australia,4.00,1652748804
3972704,11053590,213225,26099835,NZ,46.94,Wigram,Christchurch,New Zealand,0.00,1652748790
3972703,11053588,273965,23107687,NZ,70.00,Whangarei,Morningside,New Zealand,0.00,1652748762
3972703,11053587,273965,24399067,NZ,70.00,Whangarei,Morningside,New Zealand,0.00,1652748762
3972703,11053589,273965,26541624,NZ,70.00,Whangarei,Morningside,New Zealand,0.00,1652748762
3972702,11053586,2952810,26421117,US,196.97,NULL,Houston,United States,18.00,1652748732
3972702,11053582,2952810,26590592,US,196.97,NULL,Houston,United States,18.00,1652748732
3972702,11053580,2952810,26591780,US,196.97,NULL,Houston,United States,18.00,1652748732
3972702,11053585,2952810,26593135,US,196.97,NULL,Houston,United States,18.00,1652748732
3972702,11053578,2952810,26595306,US,196.97,NULL,Houston,United States,18.00,1652748732
3972702,11053581,2952810,26595382,US,196.97,NULL,Houston,United States,18.00,1652748732
3972702,11053579,2952810,26595818,US,196.97,NULL,Houston,United States,18.00,1652748732
3972702,11053583,2952810,26609836,US,196.97,NULL,Houston,United States,18.00,1652748732
3972702,11053584,2952810,26648019,US,196.97,NULL,Houston,United States,18.00,1652748732
3972701,11053577,3257157,25838527,NZ,24.99,NULL,NULL,New Zealand,0.00,1652748698
3972700,11053575,576355,25768374,NZ,109.98,Waikino,Waihi,New Zealand,0.00,1652748639
3972700,11053576,576355,26612362,NZ,109.98,Waikino,Waihi,New Zealand,0.00,1652748639
3972699,11053574,2754071,26257778,AU,14.99,NULL,NULL,Australia,0.00,1652748636
3972698,11053570,955444,24279062,NZ,51.98,Hokowhitu,Palmerston North,New Zealand,0.00,1652748625
3972698,11053571,955444,24279079,NZ,51.98,Hokowhitu,Palmerston North,New Zealand,0.00,1652748625
3972698,11053572,955444,26378299,NZ,51.98,Hokowhitu,Palmerston North,New Zealand,0.00,1652748625
3972698,11053573,955444,26487243,NZ,51.98,Hokowhitu,Palmerston North,New Zealand,0.00,1652748625
3972697,11053568,952683,26410029,NZ,79.98,NULL,NULL,New Zealand,0.00,1652748590
3972697,11053569,952683,26427539,NZ,79.98,NULL,NULL,New Zealand,0.00,1652748590
3972696,11053567,1241423,26020891,AU,69.98,Blakehurst,Blakehurst,Australia,0.00,1652748568
3972696,11053566,1241423,26498898,AU,69.98,Blakehurst,Blakehurst,Australia,0.00,1652748568
3972695,11053565,2783569,26484389,AU,69.99,NULL,NULL,Australia,0.00,1652748560
3972694,11053563,1084180,26058924,NZ,189.96,North Dunedin,Dunedin,New Zealand,0.00,1652748499
3972694,11053561,1084180,26118765,NZ,189.96,North Dunedin,Dunedin,New Zealand,0.00,1652748499
3972694,11053564,1084180,26454948,NZ,189.96,North Dunedin,Dunedin,New Zealand,0.00,1652748499
3972694,11053562,1084180,26603872,NZ,189.96,North Dunedin,Dunedin,New Zealand,0.00,1652748499
3972693,11053560,3900506,26324647,AU,36.94,Worrigee,Worrigee,Australia,0.00,1652748461
3972691,11053558,2183051,26020914,AU,49.98,Parramatta,Parramatta,Australia,0.00,1652748364
3972690,11053557,1256859,26609454,NZ,139.98,Glen Eden,Auckland,New Zealand,0.00,1652748349
3972690,11053556,1256859,26626512,NZ,139.98,Glen Eden,Auckland,New Zealand,0.00,1652748349
3972689,11053555,1243917,26548203,NZ,79.98,Appleby,Tasman,New Zealand,0.00,1652748348
3972689,11053554,1243917,26548258,NZ,79.98,Appleby,Tasman,New Zealand,0.00,1652748348
3972688,11053553,1165849,26156224,NZ,38.94,Schnapper Rock,Auckland,New Zealand,8.00,1652748346
3972687,11053551,996719,26268354,NZ,72.48,Dannevirke,Manawatu-Wanganui,New Zealand,2.50,1652748344
3972687,11053552,996719,26492575,NZ,72.48,Dannevirke,Manawatu-Wanganui,New Zealand,2.50,1652748344
3972686,11053546,2487296,25333299,NZ,54.95,Thornton,Bay of Plenty,New Zealand,0.00,1652748331
3972686,11053547,2487296,26146164,NZ,54.95,Thornton,Bay of Plenty,New Zealand,0.00,1652748331
3972686,11053550,2487296,26213934,NZ,54.95,Thornton,Bay of Plenty,New Zealand,0.00,1652748331
3972686,11053545,2487296,26486383,NZ,54.95,Thornton,Bay of Plenty,New Zealand,0.00,1652748331
3972686,11053548,2487296,26508481,NZ,54.95,Thornton,Bay of Plenty,New Zealand,0.00,1652748331
3972686,11053543,2487296,26567969,NZ,54.95,Thornton,Bay of Plenty,New Zealand,0.00,1652748331
3972686,11053549,2487296,26567983,NZ,54.95,Thornton,Bay of Plenty,New Zealand,0.00,1652748331
3972686,11053544,2487296,26607955,NZ,54.95,Thornton,Bay of Plenty,New Zealand,0.00,1652748331
3972685,11053542,1211465,26568393,AU,99.98,allawah,NULL,Australia,0.00,1652748200
3972685,11053541,1211465,26655451,AU,99.98,allawah,NULL,Australia,0.00,1652748200
3972684,11053540,3097283,26557953,NZ,26.94,St Leonards,Hastings,New Zealand,0.00,1652748194
3972683,11053538,1076457,26155784,NZ,56.93,Papatoetoe,Auckland,New Zealand,0.00,1652748177
3972683,11053539,1076457,26498539,NZ,56.93,Papatoetoe,Auckland,New Zealand,0.00,1652748177
3972682,11053537,424847,26156248,NZ,69.98,Chatswood,Auckland,New Zealand,0.00,1652748147
3972682,11053536,424847,26606668,NZ,69.98,Chatswood,Auckland,New Zealand,0.00,1652748147
3972681,11053534,3900510,26557793,AU,48.47,Bentleigh East,Bentleigh East,Australia,0.00,1652748146
3972681,11053535,3900510,26667393,AU,48.47,Bentleigh East,Bentleigh East,Australia,0.00,1652748146
3972680,11053533,1372779,26650319,AU,31.99,NULL,NULL,Australia,8.00,1652748133
3972679,11053532,1154955,25587326,NZ,249.94,Wanganui East,Whanganui,New Zealand,0.00,1652748070
3972679,11053529,1154955,26139692,NZ,249.94,Wanganui East,Whanganui,New Zealand,0.00,1652748070
3972679,11053527,1154955,26382326,NZ,249.94,Wanganui East,Whanganui,New Zealand,0.00,1652748070
3972679,11053528,1154955,26382388,NZ,249.94,Wanganui East,Whanganui,New Zealand,0.00,1652748070
3972679,11053530,1154955,26469775,NZ,249.94,Wanganui East,Whanganui,New Zealand,0.00,1652748070
3972679,11053531,1154955,26649207,NZ,249.94,Wanganui East,Whanganui,New Zealand,0.00,1652748070
3972678,11053526,3900509,26262000,AU,46.94,Banks,Banks,Australia,0.00,1652748014
3972677,11053523,2459873,26364070,NZ,169.96,Waiwhetu,Lower Hutt,New Zealand,0.00,1652747971
3972677,11053525,2459873,26378503,NZ,169.96,Waiwhetu,Lower Hutt,New Zealand,0.00,1652747971
3972677,11053524,2459873,26475257,NZ,169.96,Waiwhetu,Lower Hutt,New Zealand,0.00,1652747971
3972677,11053522,2459873,26548487,NZ,169.96,Waiwhetu,Lower Hutt,New Zealand,0.00,1652747971
3972676,11053521,707344,26454719,AU,59.99,Dural,Dural,Australia,0.00,1652747969
3972675,11053516,338780,26118734,NZ,202.99,Morningside,Auckland,New Zealand,0.00,1652747899
3972675,11053517,338780,26371795,NZ,202.99,Morningside,Auckland,New Zealand,0.00,1652747899
3972675,11053518,338780,26444161,NZ,202.99,Morningside,Auckland,New Zealand,0.00,1652747899
3972675,11053520,338780,26495071,NZ,202.99,Morningside,Auckland,New Zealand,0.00,1652747899
3972675,11053515,338780,26558578,NZ,202.99,Morningside,Auckland,New Zealand,0.00,1652747899
3972675,11053519,338780,26680002,NZ,202.99,Morningside,Auckland,New Zealand,0.00,1652747899
3972674,11053514,1055080,26482651,NZ,89.98,Māngere East,Auckland,New Zealand,0.00,1652747855
3972674,11053513,1055080,26482750,NZ,89.98,Māngere East,Auckland,New Zealand,0.00,1652747855
3972673,11053512,2672070,26224541,AU,89.96,Eastwood,Eastwood,Australia,0.00,1652747855
3972673,11053511,2672070,26443379,AU,89.96,Eastwood,Eastwood,Australia,0.00,1652747855
3972673,11053510,2672070,26443386,AU,89.96,Eastwood,Eastwood,Australia,0.00,1652747855
3972673,11053509,2672070,26568034,AU,89.96,Eastwood,Eastwood,Australia,0.00,1652747855
3972672,11053508,2000790,26401379,NZ,69.98,Judgeford,Wellington,New Zealand,0.00,1652747849
3972672,11053507,2000790,26405803,NZ,69.98,Judgeford,Wellington,New Zealand,0.00,1652747849
3972671,11053504,1017799,26541068,NZ,55.99,Woburn,Lower Hutt,New Zealand,4.00,1652747816
3972671,11053505,1017799,26541129,NZ,55.99,Woburn,Lower Hutt,New Zealand,4.00,1652747816
3972671,11053506,1017799,26573021,NZ,55.99,Woburn,Lower Hutt,New Zealand,4.00,1652747816
3972670,11053503,3750800,999998,AU,50.00,NULL,NULL,Australia,0.00,1652747795
3972669,11053502,655650,26427935,NZ,40.94,South Dunedin,Dunedin,New Zealand,6.00,1652747766
3972668,11053499,118751,26367873,NZ,119.97,Holmes Hill,Oamaru,New Zealand,0.00,1652747757
3972668,11053500,118751,26590257,NZ,119.97,Holmes Hill,Oamaru,New Zealand,0.00,1652747757
3972668,11053501,118751,26647838,NZ,119.97,Holmes Hill,Oamaru,New Zealand,0.00,1652747757
3972667,11053498,446959,26381701,NZ,151.96,West Melton,Canterbury,New Zealand,38.00,1652747730
3972667,11053496,446959,26579290,NZ,151.96,West Melton,Canterbury,New Zealand,38.00,1652747730
3972667,11053495,446959,26629773,NZ,151.96,West Melton,Canterbury,New Zealand,38.00,1652747730
3972667,11053497,446959,26684291,NZ,151.96,West Melton,Canterbury,New Zealand,38.00,1652747730
3972666,11053494,3900505,26577418,NZ,99.03,Waterview,Auckland,New Zealand,24.00,1652747722
3972666,11053493,3900505,26577470,NZ,99.03,Waterview,Auckland,New Zealand,24.00,1652747722
3972665,11053491,3899874,26040240,AU,29.98,NULL,NULL,Australia,0.00,1652747604
3972665,11053492,3899874,26042985,AU,29.98,NULL,NULL,Australia,0.00,1652747604
3972664,11053490,3900502,26595016,US,43.08,NULL,Goleta,United States,0.00,1652747451
3972663,11053487,385372,26377131,NZ,134.97,"Taradale, NAPIER","Hawke's Bay",New Zealand,0.00,1652747426
3972663,11053488,385372,26444161,NZ,134.97,"Taradale, NAPIER","Hawke's Bay",New Zealand,0.00,1652747426
3972663,11053485,385372,26506814,NZ,134.97,"Taradale, NAPIER","Hawke's Bay",New Zealand,0.00,1652747426
3972663,11053489,385372,26570730,NZ,134.97,"Taradale, NAPIER","Hawke's Bay",New Zealand,0.00,1652747426
3972663,11053486,385372,26690582,NZ,134.97,"Taradale, NAPIER","Hawke's Bay",New Zealand,0.00,1652747426
3972662,11053484,1601681,26462400,AU,53.99,Gordon,Gordon,Australia,6.00,1652747252
3972661,11053483,670614,25564884,NZ,67.96,Miramar,Wellington,New Zealand,0.00,1652747217
3972660,11053482,140114,26484402,NZ,59.99,St Kilda,Dunedin,New Zealand,0.00,1652747207
3972659,11053480,936551,25821499,AU,101.96,Wangaratta,Wangaratta,Australia,18.00,1652747151
3972659,11053479,936551,25821543,AU,101.96,Wangaratta,Wangaratta,Australia,18.00,1652747151
3972659,11053481,936551,25994247,AU,101.96,Wangaratta,Wangaratta,Australia,18.00,1652747151
3972659,11053478,936551,26282954,AU,101.96,Wangaratta,Wangaratta,Australia,18.00,1652747151
3972658,11053477,3900497,999999,NZ,50.00,Paparangi,Wellington,New Zealand,0.00,1652747130
3972657,11053474,3496258,26189161,AU,154.96,Ingle Farm,Ingle Farm,Australia,0.00,1652747076
3972657,11053475,3496258,26362854,AU,154.96,Ingle Farm,Ingle Farm,Australia,0.00,1652747076
3972657,11053473,3496258,26482446,AU,154.96,Ingle Farm,Ingle Farm,Australia,0.00,1652747076
3972657,11053476,3496258,26532943,AU,154.96,Ingle Farm,Ingle Farm,Australia,0.00,1652747076
3972656,11053472,3217725,25998757,AU,45.98,Woody Point,Woody Point,Australia,4.00,1652747055
3972655,11053471,3506493,26551517,AU,46.94,Bentleigh,Bentleigh,Australia,0.00,1652747044
3972654,11053469,234557,26409214,NZ,60.00,NULL,NULL,New Zealand,0.00,1652746998
3972654,11053470,234557,26427409,NZ,60.00,NULL,NULL,New Zealand,0.00,1652746998
3972653,11053468,1405769,26427935,AU,39.99,NULL,NULL,Australia,0.00,1652746918
3972652,11053466,1125681,26563398,NZ,79.98,Fitzherbert,Palmerston North,New Zealand,20.00,1652746888
3972652,11053467,1125681,26570778,NZ,79.98,Fitzherbert,Palmerston North,New Zealand,20.00,1652746888
3972651,11053461,1254811,24364355,NZ,185.93,Trentham,Upper Hutt,New Zealand,0.00,1652746878
3972651,11053465,1254811,25822083,NZ,185.93,Trentham,Upper Hutt,New Zealand,0.00,1652746878
3972651,11053463,1254811,26032757,NZ,185.93,Trentham,Upper Hutt,New Zealand,0.00,1652746878
3972651,11053459,1254811,26439693,NZ,185.93,Trentham,Upper Hutt,New Zealand,0.00,1652746878
3972651,11053462,1254811,26444161,NZ,185.93,Trentham,Upper Hutt,New Zealand,0.00,1652746878
3972651,11053464,1254811,26680002,NZ,185.93,Trentham,Upper Hutt,New Zealand,0.00,1652746878
3972651,11053460,1254811,26723853,NZ,185.93,Trentham,Upper Hutt,New Zealand,0.00,1652746878
3972650,11053457,1546769,26392875,NZ,54.98,Woolston,Christchurch,New Zealand,5.00,1652746826
3972650,11053458,1546769,26645513,NZ,54.98,Woolston,Christchurch,New Zealand,5.00,1652746826
3972649,11053454,922281,26444208,NZ,131.96,Miramar,Wellington,New Zealand,33.00,1652746783
3972649,11053456,922281,26570761,NZ,131.96,Miramar,Wellington,New Zealand,33.00,1652746783
3972649,11053453,922281,26576145,NZ,131.96,Miramar,Wellington,New Zealand,33.00,1652746783
3972649,11053455,922281,26624693,NZ,131.96,Miramar,Wellington,New Zealand,33.00,1652746783
3972648,11053452,2757702,26534893,AU,79.99,Bundoora,Bundoora,Australia,0.00,1652746736
3972647,11053451,1053372,26306810,AU,80.45,Alexandra Headland,Surfers Paradise,Australia,0.00,1652746727
3972647,11053450,1053372,26557304,AU,80.45,Alexandra Headland,Surfers Paradise,Australia,0.00,1652746727
3972647,11053449,1053372,26558080,AU,80.45,Alexandra Headland,Surfers Paradise,Australia,0.00,1652746727
3972647,11053448,1053372,26599588,AU,80.45,Alexandra Headland,Surfers Paradise,Australia,0.00,1652746727
3972647,11053447,1053372,26600482,AU,80.45,Alexandra Headland,Surfers Paradise,Australia,0.00,1652746727
3972646,11053445,3791906,26447421,NZ,99.98,Wellington,New Zealand,New Zealand,0.00,1652746710
3972646,11053446,3791906,26484914,NZ,99.98,Wellington,New Zealand,New Zealand,0.00,1652746710
3972645,11053444,1037281,26249957,NZ,46.94,Bannockburn,Cromwell ,New Zealand,0.00,1652746700
3972644,11053442,459603,25867947,NZ,79.98,RD3,Katikati,New Zealand,0.00,1652746653
3972644,11053443,459603,26516561,NZ,79.98,RD3,Katikati,New Zealand,0.00,1652746653
3972643,11053440,2879721,26505657,NZ,75.98,Dunedin North,Dunedin,New Zealand,14.00,1652746652
3972643,11053441,2879721,26626505,NZ,75.98,Dunedin North,Dunedin,New Zealand,14.00,1652746652
3972642,11053439,2204252,26420875,NZ,51.94,Whatawhata,Waikato,New Zealand,5.00,1652746650
3972641,11053438,3485046,26595436,AU,41.95,Thirroul,Thirroul,Australia,0.00,1652746632
3972641,11053437,3485046,26624310,AU,41.95,Thirroul,Thirroul,Australia,0.00,1652746632
3972640,11053436,3895667,26459547,NZ,39.99,NULL,North New Brighton,New Zealand,0.00,1652746590
3972639,11053431,2852160,26474328,US,0.00,NULL,Woodlands Hills,United States,219.94,1652746566
3972639,11053433,2852160,26509112,US,0.00,NULL,Woodlands Hills,United States,219.94,1652746566
3972639,11053432,2852160,26584119,US,0.00,NULL,Woodlands Hills,United States,219.94,1652746566
3972639,11053434,2852160,26632254,US,0.00,NULL,Woodlands Hills,United States,219.94,1652746566
3972639,11053430,2852160,26634227,US,0.00,NULL,Woodlands Hills,United States,219.94,1652746566
3972639,11053435,2852160,26640723,US,0.00,NULL,Woodlands Hills,United States,219.94,1652746566
3972638,11053426,157486,25443363,NZ,139.95,Auckland,New Zealand,New Zealand,0.00,1652746561
3972638,11053428,157486,25577488,NZ,139.95,Auckland,New Zealand,New Zealand,0.00,1652746561
3972638,11053427,157486,25842197,NZ,139.95,Auckland,New Zealand,New Zealand,0.00,1652746561
3972638,11053425,157486,26240763,NZ,139.95,Auckland,New Zealand,New Zealand,0.00,1652746561
3972638,11053429,157486,26243931,NZ,139.95,Auckland,New Zealand,New Zealand,0.00,1652746561
3972637,11053423,991807,26545363,NZ,89.98,Dunedin North,Dunedin,New Zealand,0.00,1652746537
3972637,11053424,991807,26633138,NZ,89.98,Dunedin North,Dunedin,New Zealand,0.00,1652746537
3972636,11053422,337520,25821543,NZ,59.97,Parklands,Christchurch,New Zealand,0.00,1652746484
3972636,11053421,337520,26367545,NZ,59.97,Parklands,Christchurch,New Zealand,0.00,1652746484
3972635,11053419,1351958,26084688,AU,69.97,Nar Nar Goon North,Nar Nar Goon North,Australia,0.00,1652746447
3972635,11053420,1351958,26576121,AU,69.97,Nar Nar Goon North,Nar Nar Goon North,Australia,0.00,1652746447
3972635,11053418,1351958,26576152,AU,69.97,Nar Nar Goon North,Nar Nar Goon North,Australia,0.00,1652746447
3972634,11053416,885814,26653228,NZ,99.98,Dunedin Central,Dunedin,New Zealand,0.00,1652746439
3972634,11053417,885814,26674278,NZ,99.98,Dunedin Central,Dunedin,New Zealand,0.00,1652746439
3972633,11053415,3268340,26132907,NZ,55.98,NULL,NULL,New Zealand,14.00,1652746385
3972633,11053414,3268340,26606798,NZ,55.98,NULL,NULL,New Zealand,14.00,1652746385
3972632,11053412,1594752,26427935,NZ,53.98,Papamoa,Papamoa,New Zealand,6.00,1652746380
3972632,11053413,1594752,26430102,NZ,53.98,Papamoa,Papamoa,New Zealand,6.00,1652746380
3972631,11053411,1204200,26591063,NZ,22.94,Epsom,Auckland,New Zealand,4.00,1652746379
3972630,11053410,3900483,26179001,AU,46.94,Turramurra,Turramurra,Australia,0.00,1652746377
3972629,11053409,3658143,26420875,AU,79.98,Killarney Heights,Killarney Heights,Australia,0.00,1652746364
3972629,11053408,3658143,26649566,AU,79.98,Killarney Heights,Killarney Heights,Australia,0.00,1652746364
3972628,11053407,2271940,26498492,NZ,36.94,Marybank,Nelson,New Zealand,0.00,1652746272
3972627,11053406,3790843,25468403,US,74.87,NULL,Coral Gables,United States,0.00,1652746255
3972627,11053405,3790843,26536163,US,74.87,NULL,Coral Gables,United States,0.00,1652746255
3972626,11053404,179562,26399287,NZ,333.52,Birchville,Upperhutt,New Zealand,73.40,1652746231
3972626,11053399,179562,26543840,NZ,333.52,Birchville,Upperhutt,New Zealand,73.40,1652746231
3972626,11053398,179562,26552637,NZ,333.52,Birchville,Upperhutt,New Zealand,73.40,1652746231
3972626,11053401,179562,26560526,NZ,333.52,Birchville,Upperhutt,New Zealand,73.40,1652746231
3972626,11053403,179562,26576039,NZ,333.52,Birchville,Upperhutt,New Zealand,73.40,1652746231
3972626,11053402,179562,26576190,NZ,333.52,Birchville,Upperhutt,New Zealand,73.40,1652746231
3972626,11053400,179562,26687285,NZ,333.52,Birchville,Upperhutt,New Zealand,73.40,1652746231
3972626,11053397,179562,26687407,NZ,333.52,Birchville,Upperhutt,New Zealand,73.40,1652746231
3972625,11053391,2837154,25908343,AU,134.93,Maroubra,Maroubra,Australia,30.00,1652746218
3972625,11053393,2837154,26112909,AU,134.93,Maroubra,Maroubra,Australia,30.00,1652746218
3972625,11053396,2837154,26443386,AU,134.93,Maroubra,Maroubra,Australia,30.00,1652746218
3972625,11053395,2837154,26443393,AU,134.93,Maroubra,Maroubra,Australia,30.00,1652746218
3972625,11053394,2837154,26460680,AU,134.93,Maroubra,Maroubra,Australia,30.00,1652746218
3972625,11053392,2837154,26529219,AU,134.93,Maroubra,Maroubra,Australia,30.00,1652746218
3972625,11053390,2837154,26677231,AU,134.93,Maroubra,Maroubra,Australia,30.00,1652746218
3972624,11053388,3662240,25298666,NZ,46.93,Eden Terrace,Auckland,New Zealand,10.00,1652746197
3972624,11053389,3662240,26560977,NZ,46.93,Eden Terrace,Auckland,New Zealand,10.00,1652746197
3972623,11053387,2785075,26643007,NZ,26.94,Manurewa,Auckland,New Zealand,0.00,1652746162
3972622,11053386,154242,26572314,NZ,69.99,RD1,Tauranga,New Zealand,0.00,1652746109
3972621,11053385,3900480,999998,NZ,50.00,NULL,NULL,New Zealand,0.00,1652746102
3972620,11053381,366631,26032740,NZ,114.98,Mount Wellington,Auckland,New Zealand,0.00,1652746091
3972620,11053382,366631,26032894,NZ,114.98,Mount Wellington,Auckland,New Zealand,0.00,1652746091
3972620,11053383,366631,26467580,NZ,114.98,Mount Wellington,Auckland,New Zealand,0.00,1652746091
3972620,11053384,366631,26467689,NZ,114.98,Mount Wellington,Auckland,New Zealand,0.00,1652746091
3972619,11053380,3900479,26561196,AU,10.49,Castle Hill,Castle Hill,Australia,0.00,1652746058
3972618,11053379,3900478,26421100,US,64.78,NULL,Cleveland Heights,United States,0.00,1652746049
3972617,11053378,3300236,26082721,NZ,14.94,Cromwell,Otago,New Zealand,2.00,1652746032
3972616,11053377,1446481,26140988,NZ,56.94,Moera,Lower Hutt,New Zealand,0.00,1652746026
3972615,11053376,314992,26577470,NZ,59.99,West Harbour,Auckland,New Zealand,0.00,1652745978
3972614,11053373,1013316,26458540,NZ,279.95,Newtown,Wellington,New Zealand,0.00,1652745973
3972614,11053374,1013316,26464633,NZ,279.95,Newtown,Wellington,New Zealand,0.00,1652745973
3972614,11053375,1013316,26654522,NZ,279.95,Newtown,Wellington,New Zealand,0.00,1652745973
3972614,11053371,1013316,26677255,NZ,279.95,Newtown,Wellington,New Zealand,0.00,1652745973
3972614,11053372,1013316,26684291,NZ,279.95,Newtown,Wellington,New Zealand,0.00,1652745973
3972613,11053367,3900476,26040257,AU,54.96,Minto,Minto,Australia,0.00,1652745942
3972613,11053369,3900476,26284484,AU,54.96,Minto,Minto,Australia,0.00,1652745942
3972613,11053368,3900476,26464992,AU,54.96,Minto,Minto,Australia,0.00,1652745942
3972613,11053370,3900476,26584768,AU,54.96,Minto,Minto,Australia,0.00,1652745942
3972612,11053366,2632889,25956566,NZ,49.98,NULL,NULL,New Zealand,0.00,1652745891
3972612,11053365,2632889,26459707,NZ,49.98,NULL,NULL,New Zealand,0.00,1652745891
3972611,11053364,3508985,26363813,AU,114.97,Crestwood,Crestwood,Australia,0.00,1652745870
